starttime,endtime,logreturn,score
"2016-11-19 00:10:00","2016-11-19 01:10:00",0.128,0.3722
"2016-11-19 01:10:00","2016-11-19 02:10:00",0.0183,0.32
"2016-11-19 02:10:00","2016-11-21 09:40:00",0.4194,0.6405
"2016-11-21 09:40:00","2016-11-21 10:55:00",0.0182,0.8372
"2016-11-21 10:55:00","2016-11-21 13:55:00",0.0909,0.9325
"2016-11-21 13:55:00","2016-11-21 14:55:00",0.1816,0.8197
"2016-11-21 14:55:00","2016-11-21 21:50:00",-0.0181,0.682
"2016-11-21 21:50:00","2016-11-21 22:50:00",-0.0908,0.6138
"2016-11-21 22:50:00","2016-11-21 23:50:00",0.0363,0.9573
"2016-11-21 23:50:00","2016-11-22 00:50:00",-0.109,0.8983
"2016-11-22 00:50:00","2016-11-22 01:50:00",0.0182,0.2959
"2016-11-22 01:50:00","2016-11-22 09:20:00",0.5076,0.759
"2016-11-22 09:20:00","2016-11-22 10:35:00",-0.0362,0.8295
"2016-11-22 10:35:00","2016-11-22 13:35:00",0.0904,0.5862
"2016-11-22 13:35:00","2016-11-22 14:35:00",0.0181,0.4711
"2016-11-22 14:35:00","2016-11-22 21:30:00",-0.2714,0.7608
"2016-11-22 21:30:00","2016-11-22 22:30:00",0,0.6847
"2016-11-22 22:30:00","2016-11-22 23:30:00",-0.2177,0.6162
"2016-11-22 23:30:00","2016-11-23 00:30:00",0.0726,0.5546
"2016-11-23 00:30:00","2016-11-23 01:30:00",0.0907,0.4991
"2016-11-23 01:30:00","2016-11-23 09:00:00",0.0363,0.6476
"2016-11-23 09:00:00","2016-11-23 10:00:00",0.1449,0.5828
"2016-11-23 10:00:00","2016-11-23 11:15:00",0.1447,0.5245
"2016-11-23 11:15:00","2016-11-23 14:15:00",-0.2533,0.472
"2016-11-23 14:15:00","2016-11-23 21:10:00",-0.1088,0.7327
"2016-11-23 21:10:00","2016-11-23 22:10:00",-0.7098,0.6594
"2016-11-23 22:10:00","2016-11-23 23:10:00",-0.2011,0.5935
"2016-11-23 23:10:00","2016-11-24 00:10:00",0.4565,0.5342
"2016-11-24 00:10:00","2016-11-24 01:10:00",-0.0911,0.4808
"2016-11-24 01:10:00","2016-11-24 02:10:00",-0.146,0.4327
"2016-11-24 02:10:00","2016-11-24 09:40:00",-0.1279,0.4909
"2016-11-24 09:40:00","2016-11-24 10:55:00",-0.0732,0.4418
"2016-11-24 10:55:00","2016-11-24 13:55:00",0.1097,0.3976
"2016-11-24 13:55:00","2016-11-24 14:55:00",0.0548,0.3578
"2016-11-24 14:55:00","2016-11-24 21:50:00",-0.2195,0.322
"2016-11-24 21:50:00","2016-11-24 22:50:00",0.1281,0.2898
"2016-11-24 22:50:00","2016-11-24 23:50:00",-0.0183,0.2608
"2016-11-24 23:50:00","2016-11-25 00:50:00",-0.0366,0.2347
"2016-11-25 00:50:00","2016-11-25 01:50:00",-0.1648,0.2112
"2016-11-25 01:50:00","2016-11-25 09:20:00",-0.2936,0.1901
"2016-11-25 09:20:00","2016-11-25 10:35:00",-0.7934,0.5099
"2016-11-25 10:35:00","2016-11-25 13:35:00",-0.204,0.8301
"2016-11-25 13:35:00","2016-11-25 14:35:00",0.4076,0.8308
"2016-11-25 14:35:00","2016-11-25 21:30:00",0.5531,0.6072
"2016-11-25 21:30:00","2016-11-25 22:30:00",0.0368,0.5465
"2016-11-25 22:30:00","2016-11-25 23:30:00",-0.0735,0.9257
"2016-11-25 23:30:00","2016-11-26 00:30:00",-0.1472,0.1256
"2016-11-26 00:30:00","2016-11-26 01:30:00",0.1472,0.113
"2016-11-26 01:30:00","2016-11-28 09:00:00",0.7513,0.7322
"2016-11-28 09:00:00","2016-11-28 10:00:00",0.3644,0.6624
"2016-11-28 10:00:00","2016-11-28 11:15:00",-0.2003,0.8256
"2016-11-28 11:15:00","2016-11-28 14:15:00",-0.1277,0.6574
"2016-11-28 14:15:00","2016-11-28 21:10:00",-0.1278,0.534
"2016-11-28 21:10:00","2016-11-28 22:10:00",0.0548,0.5333
"2016-11-28 22:10:00","2016-11-28 23:10:00",-0.0365,0.48
"2016-11-28 23:10:00","2016-11-29 00:10:00",0.2736,0.432
"2016-11-29 00:10:00","2016-11-29 01:10:00",-0.1459,0.7623
"2016-11-29 01:10:00","2016-11-29 02:10:00",0.1094,0.6861
"2016-11-29 02:10:00","2016-11-29 09:40:00",-0.2007,0.718
"2016-11-29 09:40:00","2016-11-29 10:55:00",-0.0731,0.6231
"2016-11-29 10:55:00","2016-11-29 13:55:00",-0.3478,0.7191
"2016-11-29 13:55:00","2016-11-29 14:55:00",0.0367,0.7596
"2016-11-29 14:55:00","2016-11-29 21:50:00",-0.736,0.6722
"2016-11-29 21:50:00","2016-11-29 22:50:00",0.2398,0.605
"2016-11-29 22:50:00","2016-11-29 23:50:00",0.0184,0.5445
"2016-11-29 23:50:00","2016-11-30 00:50:00",0.0921,0.49
"2016-11-30 00:50:00","2016-11-30 01:50:00",-0.0921,0.441
"2016-11-30 01:50:00","2016-11-30 09:20:00",0.184,0.6817
"2016-11-30 09:20:00","2016-11-30 10:35:00",-0.092,0.5785
"2016-11-30 10:35:00","2016-11-30 13:35:00",-0.1473,0.7996
"2016-11-30 13:35:00","2016-11-30 14:35:00",-0.0369,0.909
"2016-11-30 14:35:00","2016-11-30 21:30:00",-0.1661,0.6143
"2016-11-30 21:30:00","2016-11-30 22:30:00",-0.2404,0.7052
"2016-11-30 22:30:00","2016-11-30 23:30:00",-0.037,0.6347
"2016-11-30 23:30:00","2016-12-01 00:30:00",-0.3339,0.5712
"2016-12-01 00:30:00","2016-12-01 01:30:00",0.1856,0.5141
"2016-12-01 01:30:00","2016-12-01 09:00:00",-0.1856,0.6853
"2016-12-01 09:00:00","2016-12-01 10:00:00",-0.6899,0.7603
"2016-12-01 10:00:00","2016-12-01 11:15:00",0.1869,0.6143
"2016-12-01 11:15:00","2016-12-01 14:15:00",0.5401,0.5998
"2016-12-01 14:15:00","2016-12-01 21:10:00",-0.5588,0.7293
"2016-12-01 21:10:00","2016-12-01 22:10:00",0.0373,0.6564
"2016-12-01 22:10:00","2016-12-01 23:10:00",-0.2243,0.5908
"2016-12-01 23:10:00","2016-12-02 00:10:00",0.243,0.3053
"2016-12-02 00:10:00","2016-12-02 01:10:00",-0.1494,0.2748
"2016-12-02 01:10:00","2016-12-02 02:10:00",-0.0374,0.9187
"2016-12-02 02:10:00","2016-12-02 09:40:00",0.5409,0.6008
"2016-12-02 09:40:00","2016-12-02 10:55:00",-0.0744,0.8049
"2016-12-02 10:55:00","2016-12-02 13:55:00",0,0.7164
"2016-12-02 13:55:00","2016-12-02 14:55:00",0.093,0.9227
"2016-12-02 14:55:00","2016-12-02 21:50:00",-0.2607,0.6354
"2016-12-02 21:50:00","2016-12-02 22:50:00",0.5764,0.5719
"2016-12-02 22:50:00","2016-12-02 23:50:00",0.0185,0.9483
"2016-12-02 23:50:00","2016-12-03 00:50:00",0.0556,0.8535
